Date	Time	RouterA	RouterB	Status
3/15/2004	1:45	10.8.20.138	10.8.20.135	Inactive
3/15/2004	4:15	10.8.20.135	10.8.20.148	Active
3/15/2004	4:45	10.8.20.146	10.8.20.145	Active
3/16/2004	1:45	10.8.20.133	10.8.20.125	Active
3/16/2004	4:30	10.8.20.130	10.8.20.136	Inactive
3/16/2004	4:45	10.8.20.140	10.8.20.138	Inactive
3/17/2004	2:00	10.8.20.147	10.8.20.144	Active
3/17/2004	4:30	10.8.20.145	10.8.20.136	Inactive
3/17/2004	4:45	10.8.20.144	10.8.20.134	Inactive
3/18/2004	2:00	10.8.20.136	10.8.20.144	Inactive
3/18/2004	4:30	10.8.20.134	10.8.20.127	Active
3/18/2004	4:45	10.8.20.133	10.8.20.142	Inactive
3/19/2004	2:15	10.8.20.131	10.8.20.139	Inactive
3/19/2004	4:30	10.8.20.125	10.8.20.138	Inactive
3/19/2004	5:00	10.8.20.128	10.8.20.130	Active
3/20/2004	2:15	10.8.20.127	10.8.20.143	Inactive
3/20/2004	4:30	10.8.20.127	10.8.20.131	Active
3/20/2004	5:00	10.8.20.144	10.8.20.145	Inactive
3/21/2004	2:30	10.8.20.140	10.8.20.141	Active
3/21/2004	4:45	10.8.20.137	10.8.20.132	Active
3/21/2004	5:00	10.8.20.135	10.8.20.129	Active
3/22/2004	2:45	10.8.20.148	10.8.20.127	Active
3/23/2004	3:00	10.8.20.148	10.8.20.125	Active
3/24/2004	3:15	10.8.20.136	10.8.20.144	Inactive
3/25/2004	3:30	10.8.20.126	10.8.20.133	Inactive
3/25/2004	5:00	10.8.20.136	10.8.20.128	Active
3/25/2004	8:00	10.8.20.132	10.8.20.125	Active
3/25/2004	11:30	10.8.20.145	10.8.20.138	Inactive
3/25/2004	12:45	10.8.20.134	10.8.20.132	Active
3/26/2004	1:30	10.8.20.144	10.8.20.141	Inactive
3/26/2004	3:45	10.8.20.132	10.8.20.140	Inactive
3/26/2004	5:15	10.8.20.126	10.8.20.133	Active
3/26/2004	8:15	10.8.20.126	10.8.20.129	Active
3/26/2004	11:45	10.8.20.146	10.8.20.128	Active
3/27/2004	1:30	10.8.20.142	10.8.20.126	Active
3/27/2004	3:45	10.8.20.125	10.8.20.131	Active
3/27/2004	5:30	10.8.20.133	10.8.20.131	Active
3/27/2004	8:30	10.8.20.128	10.8.20.137	Inactive
3/27/2004	12:00	10.8.20.142	10.8.20.139	Inactive
3/28/2004	3:45	10.8.20.134	10.8.20.140	Inactive
3/28/2004	5:45	10.8.20.131	10.8.20.137	Inactive
3/28/2004	8:45	10.8.20.126	10.8.20.134	Inactive
3/29/2004	3:45	10.8.20.143	10.8.20.130	Active
3/29/2004	6:00	10.8.20.125	10.8.20.147	Active
3/29/2004	9:00	10.8.20.147	10.8.20.133	Active
3/30/2004	4:00	10.8.20.131	10.8.20.125	Active
3/30/2004	6:15	10.8.20.127	10.8.20.134	Inactive
3/30/2004	9:15	10.8.20.126	10.8.20.148	Inactive
3/31/2004	4:00	10.8.20.130	10.8.20.145	Inactive
3/31/2004	6:30	10.8.20.141	10.8.20.139	Active
3/31/2004	9:30	10.8.20.139	10.8.20.135	Active
4/1/2004	4:00	10.8.20.139	10.8.20.146	Active
4/1/2004	6:45	10.8.20.135	10.8.20.147	Inactive
4/1/2004	9:45	10.8.20.129	10.8.20.135	Active
4/2/2004	4:00	10.8.20.129	10.8.20.127	Active
4/2/2004	7:00	10.8.20.127	10.8.20.146	Active
4/2/2004	10:00	10.8.20.143	10.8.20.132	Active
4/3/2004	4:15	10.8.20.132	10.8.20.128	Active
4/3/2004	7:15	10.8.20.145	10.8.20.126	Active
4/3/2004	10:15	10.8.20.140	10.8.20.125	Active
4/4/2004	4:15	10.8.20.129	10.8.20.126	Active
4/4/2004	7:30	10.8.20.125	10.8.20.126	Active
4/4/2004	10:30	10.8.20.137	10.8.20.129	Active
4/4/2004	11:00	10.8.20.141	10.8.20.126	Active
4/4/2004	12:15	10.8.20.138	10.8.20.142	Inactive
4/5/2004	4:15	10.8.20.130	10.8.20.140	Inactive
4/5/2004	7:45	10.8.20.125	10.8.20.136	Inactive
4/5/2004	10:45	10.8.20.139	10.8.20.127	Active
4/5/2004	11:15	10.8.20.138	10.8.20.143	Inactive
4/5/2004	12:30	10.8.20.128	10.8.20.130	Active
